dataset,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count
ag_news,32,128,500,2000,169,20260830,adaptive_001,adaptive,adaptive,0.001,0.6155,0.6068113173835394,1.384824191501937,0.0077980529999877035,31,0
ag_news,32,128,500,2000,169,20260830,optimal_builtin,optimal,optimal,0.001,0.628,0.6228437012150885,1.4016989929042183,0.006887388999984978,9,0
ag_news,32,128,500,2000,169,20260830,constant_01,constant,constant,0.01,0.634,0.6274084608930383,1.1171913493755237,0.01149456200005261,166,0
ag_news,32,128,500,2000,169,20260830,adaptive_01,adaptive,adaptive,0.01,0.634,0.6274084608930383,1.116013023098281,0.012457264999966355,196,0
ag_news,32,128,500,2000,203,20260830,constant_001,constant,constant,0.001,0.6045,0.600512265164133,1.385260369859879,0.006876525000052425,6,0
ag_news,32,128,500,2000,203,20260830,invscaling_001,invscaling,invscaling,0.001,0.6045,0.5990521618404474,1.3862208209999476,0.007187944999941465,6,0
ag_news,32,128,500,2000,203,20260830,adaptive_001,adaptive,adaptive,0.001,0.6045,0.600512265164133,1.385043974626299,0.007646112999964316,31,0
ag_news,32,128,500,2000,203,20260830,optimal_builtin,optimal,optimal,0.001,0.5945,0.5926682085201098,1.5836509455109236,0.006814688000076785,10,0
ag_news,32,128,500,2000,203,20260830,constant_01,constant,constant,0.01,0.6055,0.6042303013008432,1.1597152085974267,0.011789253999950233,160,0
ag_news,32,128,500,2000,203,20260830,adaptive_01,adaptive,adaptive,0.01,0.605,0.6036708412706222,1.1586579077065713,0.01247383500003707,190,0
ag_news,32,128,500,2000,247,20260830,constant_001,constant,constant,0.001,0.595,0.5879889409952879,1.3852119046751041,0.006819025000140755,6,0
ag_news,32,128,500,2000,247,20260830,invscaling_001,invscaling,invscaling,0.001,0.576,0.5670415307053459,1.3862192949138539,0.006910852999908457,6,0
ag_news,32,128,500,2000,247,20260830,adaptive_001,adaptive,adaptive,0.001,0.595,0.5879889409952879,1.3849853066164393,0.007529532000035033,31,0
ag_news,32,128,500,2000,247,20260830,optimal_builtin,optimal,optimal,0.001,0.5645,0.5610423714229787,1.739535581850492,0.006908927000040421,9,0
ag_news,32,128,500,2000,247,20260830,constant_01,constant,constant,0.01,0.5935,0.5877682996737803,1.1516123593841872,0.01136447799990492,165,0
ag_news,32,128,500,2000,247,20260830,adaptive_01,adaptive,adaptive,0.01,0.594,0.5882905400271958,1.1506211076568928,0.012156662999814216,195,0
ag_news,32,128,500,2000,314,20260830,constant_001,constant,constant,0.001,0.5855,0.5727627186138966,1.38529820500715,0.0069738079998842295,6,0
ag_news,32,128,500,2000,314,20260830,invscaling_001,invscaling,invscaling,0.001,0.561,0.5464534444212079,1.3862236130184564,0.0067008119999627525,6,0
ag_news,32,128,500,2000,314,20260830,adaptive_001,adaptive,adaptive,0.001,0.586,0.573349250187983,1.3850895808117911,0.007597344999794586,31,0
ag_news,32,128,500,2000,314,20260830,optimal_builtin,optimal,optimal,0.001,0.588,0.5822359160176489,1.5285364650811508,0.006846088999964195,9,0
ag_news,32,128,500,2000,314,20260830,constant_01,constant,constant,0.01,0.6075,0.6003713074046896,1.1541770231896562,0.011239163000027474,168,0
ag_news,32,128,500,2000,314,20260830,adaptive_01,adaptive,adaptive,0.01,0.6075,0.6003685572710484,1.153084141069001,0.01238375899993116,198,0
ag_news,32,128,500,2000,415,20260830,constant_001,constant,constant,0.001,0.5575,0.538833987903514,1.3851470900791418,0.006871696000189331,6,0
ag_news,32,128,500,2000,415,20260830,invscaling_001,invscaling,invscaling,0.001,0.581,0.5664625980669208,1.386214699361907,0.006908451999834142,6,0
ag_news,32,128,500,2000,415,20260830,adaptive_001,adaptive,adaptive,0.001,0.5585,0.5398292349917593,1.3849069743259617,0.008293202000004385,31,0
ag_news,32,128,500,2000,415,20260830,optimal_builtin,optimal,optimal,0.001,0.61,0.6055823498421979,1.4952819650600773,0.007410825999841109,9,0
ag_news,32,128,500,2000,415,20260830,constant_01,constant,constant,0.01,0.6195,0.612252763401679,1.13607447261429,0.011660490000167556,172,0
ag_news,32,128,500,2000,415,20260830,adaptive_01,adaptive,adaptive,0.01,0.6195,0.612252763401679,1.134991818802173,0.012533272000155193,202,0
ag_news,32,128,500,2000,509,20260830,constant_001,constant,constant,0.001,0.632,0.6250756042350349,1.385186000371244,0.0073993119999613555,6,0
