dataset,n_samples,n_features,n_classes,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
wine,178,13,3,4,12,166,247,invscaling_0003,invscaling,invscaling,0.0003,0.8734939759036144,0.8796961973956154,1.0934110849723104,0.0012345830036792904,7,0,PASS
wine,178,13,3,4,12,166,247,invscaling_001,invscaling,invscaling,0.001,0.8614457831325302,0.8682429702804266,1.0718698314851298,0.0012007580007775687,20,0,PASS
wine,178,13,3,4,12,166,247,invscaling_003,invscaling,invscaling,0.003,0.8614457831325302,0.8682429702804266,0.9671731593620237,0.0013496170067810453,67,0,PASS
wine,178,13,3,4,12,166,247,adaptive_0003,adaptive,adaptive,0.0003,0.8674698795180723,0.8734355948629241,0.7500846828989463,0.001394058002915699,194,0,PASS
wine,178,13,3,4,12,166,247,adaptive_001,adaptive,adaptive,0.001,0.8614457831325302,0.8647408504445576,0.5727110408778517,0.0014215280025382526,180,0,PASS
wine,178,13,3,4,12,166,247,adaptive_003,adaptive,adaptive,0.003,0.8674698795180723,0.8714797747055812,0.482931053318003,0.001347020996036008,138,0,PASS
wine,178,13,3,4,12,166,314,constant_0003,constant,constant,0.0003,0.9036144578313253,0.9036430380197245,0.7829601123206497,0.0013209030003054067,184,0,PASS
wine,178,13,3,4,12,166,314,constant_001,constant,constant,0.001,0.9096385542168675,0.9095093178151875,0.5346539607514527,0.001695487997494638,151,0,PASS
wine,178,13,3,4,12,166,314,constant_003,constant,constant,0.003,0.9216867469879518,0.9212507203495203,0.3866102523855188,0.001348241996311117,134,0,PASS
wine,178,13,3,4,12,166,314,invscaling_0003,invscaling,invscaling,0.0003,0.8855421686746988,0.8862040809081307,1.0936847831561587,0.0011779429987655021,7,0,PASS
wine,178,13,3,4,12,166,314,invscaling_001,invscaling,invscaling,0.001,0.8855421686746988,0.8862040809081307,1.0748031277505694,0.0011655010021058843,19,0,PASS
wine,178,13,3,4,12,166,314,invscaling_003,invscaling,invscaling,0.003,0.8855421686746988,0.8862040809081307,0.9837846701644205,0.0012629080010810867,67,0,PASS
wine,178,13,3,4,12,166,314,adaptive_0003,adaptive,adaptive,0.0003,0.9036144578313253,0.9036430380197245,0.7813086519254145,0.0013722660005441867,204,0,PASS
wine,178,13,3,4,12,166,314,adaptive_001,adaptive,adaptive,0.001,0.9096385542168675,0.9095093178151875,0.5329528713679665,0.00140093299705768,177,0,PASS
wine,178,13,3,4,12,166,314,adaptive_003,adaptive,adaptive,0.003,0.9216867469879518,0.9212507203495203,0.384941678392844,0.001367590004520025,160,0,PASS
wine,178,13,3,4,12,166,415,constant_0003,constant,constant,0.0003,0.9216867469879518,0.9223845450045746,0.7433610722406937,0.0014221879973774776,174,0,PASS
wine,178,13,3,4,12,166,415,constant_001,constant,constant,0.001,0.9337349397590361,0.9350271756332691,0.5259229147882077,0.001370541998767294,157,0,PASS
wine,178,13,3,4,12,166,415,constant_003,constant,constant,0.003,0.9397590361445783,0.9413841466363593,0.3936583817688325,0.0013121689989930019,117,0,PASS
wine,178,13,3,4,12,166,415,invscaling_0003,invscaling,invscaling,0.0003,0.9216867469879518,0.9229677121359906,1.0937761773680852,0.001194537995615974,7,0,PASS
wine,178,13,3,4,12,166,415,invscaling_001,invscaling,invscaling,0.001,0.9036144578313253,0.9044256120527306,1.0748331147317711,0.0011870810049003921,17,0,PASS
wine,178,13,3,4,12,166,415,invscaling_003,invscaling,invscaling,0.003,0.9036144578313253,0.9044256120527306,0.9755644093613215,0.0012371400007396005,60,0,PASS
wine,178,13,3,4,12,166,415,adaptive_0003,adaptive,adaptive,0.0003,0.9216867469879518,0.9223845450045746,0.7418647474966906,0.0013984629986225627,194,0,PASS
wine,178,13,3,4,12,166,415,adaptive_001,adaptive,adaptive,0.001,0.9337349397590361,0.9350271756332691,0.5243422315887607,0.0014360210043378174,182,0,PASS
wine,178,13,3,4,12,166,415,adaptive_003,adaptive,adaptive,0.003,0.9397590361445783,0.9413841466363593,0.39201602026090315,0.0014740660044481046,142,0,PASS
wine,178,13,3,4,12,166,509,constant_0003,constant,constant,0.0003,0.9036144578313253,0.9056357929749534,0.7246786597511098,0.0013974710018374026,177,0,PASS
wine,178,13,3,4,12,166,509,constant_001,constant,constant,0.001,0.9156626506024096,0.9171552203374551,0.5150406010634344,0.0013468410033965483,165,0,PASS
wine,178,13,3,4,12,166,509,constant_003,constant,constant,0.003,0.9156626506024096,0.9171552203374551,0.39663374221454684,0.0013281490028020926,115,0,PASS
