dataset,train_split,eval_split,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
ag_news,train,test,32,128,500,2000,509,20260801,invscaling_001,invscaling,invscaling,0.001,0.598,0.5876027997780441,1.3862201841999147,0.007235070996102877,6,0,PASS
ag_news,train,test,32,128,500,2000,509,20260801,adaptive_001,adaptive,adaptive,0.001,0.609,0.6023455436229098,1.3850076759464018,0.00798828899860382,31,0,PASS
ag_news,train,test,32,128,500,2000,509,20260801,optimal_builtin,optimal,optimal,0.001,0.598,0.5976046251813425,1.4296446280712733,0.007140753994463012,9,0,PASS
ag_news,train,test,32,128,500,2000,509,20260801,constant_01,constant,constant,0.01,0.6165,0.612328861660633,1.1429561789996556,0.012461399994208477,167,0,PASS
ag_news,train,test,32,128,500,2000,509,20260801,adaptive_01,adaptive,adaptive,0.01,0.6165,0.612328861660633,1.1418313113460854,0.013526238006306812,197,0,PASS
ag_news,train,test,64,256,500,2000,14,20260801,constant_001,constant,constant,0.001,0.275,0.14882885688735575,1.3776070411145056,0.014513187008560635,40,0,PASS
ag_news,train,test,64,256,500,2000,14,20260801,invscaling_001,invscaling,invscaling,0.001,0.626,0.6212061688505174,1.3862074080276985,0.013062914993497543,6,0,PASS
ag_news,train,test,64,256,500,2000,14,20260801,adaptive_001,adaptive,adaptive,0.001,0.2775,0.1534138592332544,1.377225215280395,0.016764056999818422,65,0,PASS
ag_news,train,test,64,256,500,2000,14,20260801,optimal_builtin,optimal,optimal,0.001,0.6895,0.6875853956789284,1.0563159096464119,0.012849614999140613,9,0,PASS
ag_news,train,test,64,256,500,2000,14,20260801,constant_01,constant,constant,0.01,0.719,0.7151946815443925,1.0315268647295648,0.02376091299811378,163,0,PASS
ag_news,train,test,64,256,500,2000,14,20260801,adaptive_01,adaptive,adaptive,0.01,0.719,0.7151946815443925,1.0300635025193878,0.02680524199968204,193,0,PASS
ag_news,train,test,64,256,500,2000,52,20260801,constant_001,constant,constant,0.001,0.5085,0.4467304520273476,1.3758058481066195,0.014935373998014256,43,0,PASS
ag_news,train,test,64,256,500,2000,52,20260801,invscaling_001,invscaling,invscaling,0.001,0.657,0.6452705315647781,1.3862048178790765,0.013157986002624966,6,0,PASS
ag_news,train,test,64,256,500,2000,52,20260801,adaptive_001,adaptive,adaptive,0.001,0.516,0.4588143554870254,1.3754060485177837,0.018279385010828264,68,0,PASS
