dataset,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,power_t,n_iter,t_,final_learning_rate,final_learning_rate_note,test_log_loss,test_macro_f1,convergence_warning_count,max_iter,tol,alpha,class_weight
wine,4,12,166,52,adaptive_001,adaptive,adaptive,0.001,0.5,191,2293.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5441353989702913,0.8926378539493293,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,adaptive_001,adaptive,adaptive,0.001,0.5,182,2185.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5743974067959375,0.8918256502633805,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,adaptive_001,adaptive,adaptive,0.001,0.5,181,2173.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.564321621880407,0.8699624060150377,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,adaptive_001,adaptive,adaptive,0.001,0.5,186,2233.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5680457996977754,0.8927174851454979,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,adaptive_001,adaptive,adaptive,0.001,0.5,188,2257.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5038987525846012,0.958942379166167,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,adaptive_001,adaptive,adaptive,0.001,0.5,180,2161.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5727110408778517,0.8647408504445576,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,adaptive_001,adaptive,adaptive,0.001,0.5,177,2125.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5329528713679665,0.9095093178151875,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,adaptive_001,adaptive,adaptive,0.001,0.5,182,2185.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5243422315887607,0.9350271756332691,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,adaptive_001,adaptive,adaptive,0.001,0.5,190,2281.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5135381191491694,0.9171552203374551,0,1000,0.001,0.0001,balanced
wine,4,12,166,14,adaptive_003,adaptive,adaptive,0.003,0.5,142,1705.0,0.003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.4086538769602931,0.9215635863393965,0,1000,0.001,0.0001,balanced
