dataset,train_per_class,comparison,left_schedule,right_schedule,n_pairs,mean_delta_macro_f1,std_delta_macro_f1,paired_t_statistic,p_value,p_value_method,holm_p,holm_significant_0_05
ag_news,128,ag_news|budget=128|adaptive_001_minus_invscaling_01,adaptive_001,invscaling_01,10,0.003135265582122315,0.019979363799789342,0.4962410419267076,0.6316176164270848,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,128,ag_news|budget=128|constant_001_minus_adaptive_001,constant_001,adaptive_001,10,-0.0006086055653257372,0.0008114579421151972,-2.3717554332723583,0.0417885689340371,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,128,ag_news|budget=128|constant_001_minus_invscaling_001,constant_001,invscaling_001,10,0.0029613544476244646,0.02057291045380001,0.45519203685803145,0.6597530317645682,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,128,ag_news|budget=128|constant_001_minus_invscaling_01,constant_001,invscaling_01,10,0.002526660016796578,0.020308489066437244,0.39343155957186043,0.7031584062779543,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,128,ag_news|budget=128|constant_01_minus_adaptive_01,constant_01,adaptive_01,10,-0.00010429317209054156,0.0004116053724745271,-0.8012625448187666,0.4436183783029069,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,128,ag_news|budget=128|invscaling_001_minus_adaptive_001,invscaling_001,adaptive_001,10,-0.0035699600129502017,0.02024721596269451,-0.5575682512325248,0.5907353808995408,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|adaptive_001_minus_invscaling_01,adaptive_001,invscaling_01,10,0.027370296469126327,0.03963934612449153,2.1834991123384455,0.056849415698067556,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|adaptive_001_minus_optimal_builtin,adaptive_001,optimal_builtin,10,0.003458266101658719,0.018929624784799544,0.5777186690448584,0.5776195365375356,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|constant_001_minus_adaptive_001,constant_001,adaptive_001,10,-7.753572715666346e-05,0.00024518949785242756,-1.0,0.3434363961379136,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|constant_001_minus_invscaling_001,constant_001,invscaling_001,10,0.029218983615114307,0.04399019425457133,2.100434897017989,0.06507234061300897,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|constant_001_minus_invscaling_01,constant_001,invscaling_01,10,0.027292760741969662,0.0397205446241244,2.172862643132849,0.05784316128699438,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,ag_news|budget=16|constant_001_minus_optimal_builtin,constant_001,optimal_builtin,10,0.0033807303745020554,0.018882962935702897,0.5661615804015016,0.5851223389436446,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
